shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category,shop_district
晋乡居(南京路店),4.4,1047.0,52.0,小白楼,山西菜,和平区
和平十九号家宴,4.6,420.0,58.0,五大道,天津菜,和平区
铁真老姑红焖羊肉·刨冰王(总店),4.7,2193.0,50.0,南市,牛羊肉火锅,和平区
徽菜名门(五大道店),4.5,681.0,139.0,五大道,徽菜,和平区
桥头堡·坤德餐厅(和平店),4.6,662.0,70.0,五大道,天津菜,和平区
雀舞云南菜(天津天河城购物中心店),4.8,6682.0,82.0,和平路,云南菜|滇菜,和平区
鹅城粤菜馆(万德庄店),4.4,539.0,99.0,海光寺/六里台,顺德菜,和平区
小伦敦(五大道店),4.6,1875.0,105.0,五大道,西餐,和平区
只此一家纸上烤肉(总店),4.9,1905.0,96.0,海光寺/六里台,融合烤肉,和平区
贰楼烤肉(卫津路店),4.8,1625.0,101.0,南开大学/八里台,融合烤肉,和平区
度小月(恒隆广场店),4.5,16711.0,78.0,和平路,台湾菜,和平区
lasemana拉斯曼娜西班牙餐厅,4.8,1297.0,158.0,南市,西餐,和平区
津遇喜记·茶餐厅(新兴路店),4.3,97.0,49.0,鞍山道沿线,粤菜馆,和平区
川江渔翁(万德庄大街店),4.6,212.0,57.0,海光寺/六里台,川菜馆,和平区
吉祥毡房呼伦贝尔鲜羊火锅涮肉,4.8,1095.0,102.0,海光寺/六里台,牛羊肉火锅,和平区
薇马克印度餐厅 Vimarkitchen,4.6,4418.0,72.0,海光寺/六里台,东南亚菜,和平区
湊湊火锅·茶憩(和平大悦城店),4.8,3747.0,144.0,五大道,火锅,和平区
地狱厨房·日式居酒屋(和平总店),4.1,528.0,55.0,五大道,日本料理,和平区
廣東顺德菜(海信店),4.4,3758.0,77.0,小白楼,顺德菜,和平区
电台巷火锅(天津旗舰店),4.9,8364.0,125.0,南市,重庆火锅,和平区
郭靖烤全羊总店·烧烤·融合菜(天津小白楼店),4.8,1164.0,143.0,小白楼,内蒙菜,和平区
SeeHer西舍法餐厅,4.3,28.0,218.0,小白楼,西餐,和平区
西域楼兰·新疆餐厅(南开店),4.6,555.0,61.0,海光寺/六里台,新疆菜,和平区
真悦居酒屋(大悦城总店),4.8,4052.0,123.0,大悦城,日本料理,和平区
爱合牛-炭火烧肉·酒場·寿喜烧(大悦城店),4.4,1326.0,122.0,大悦城,日式烧烤/烤肉,和平区
安东鸡(南开大悦城店),4.7,3005.0,88.0,南市,韩国料理,和平区
姜虎东白丁韩国烤肉(米莱欧百货店),4.8,10934.0,127.0,滨江道,韩式烤肉,和平区
鱼酷PRO(南市大悦城南区店),4.9,1246.0,94.0,南市,烤鱼,和平区
肥记红焖羊肉(原广东路店),4.1,105.0,102.0,小白楼,牛羊肉火锅,和平区
知酒浓·老房酒馆(新华路店),4.8,191.0,79.0,滨江道,私房菜,和平区
哇啦哇啦 Wala Wala小白楼,4.7,3368.0,62.0,小白楼,韩国料理,和平区
老街称盘麻辣烫(天津总店),4.3,1096.0,64.0,海光寺/六里台,重庆火锅,和平区
