shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category,shop_district
lasemana拉斯曼娜西班牙餐厅,4.8,1297,158,南市,西餐,和平区
津遇喜记·茶餐厅,4.3,97,49,鞍山道沿线,粤菜馆,和平区
川江渔翁,4.6,212,57,海光寺/六里台,川菜馆,和平区
吉祥毡房呼伦贝尔鲜羊火锅涮肉,4.8,1095,102,海光寺/六里台,火锅,和平区
薇马克印度餐厅 Vimarkitchen,4.6,4418,72,海光寺/六里台,东南亚菜,和平区
湊湊火锅·茶憩,4.8,3747,144,五大道,火锅,和平区
地狱厨房·日式居酒屋,4.1,528,55,五大道,日本料理,和平区
廣東顺德菜,4.4,3758,77,小白楼,顺德菜,和平区
电台巷火锅,4.9,8364,125,南市,火锅,和平区
郭靖烤全羊总店·烧烤·融合菜,4.8,1164,143,小白楼,内蒙菜,和平区
SeeHer西舍法餐厅,4.3,28,218,小白楼,西餐,和平区
西域楼兰·新疆餐厅,4.6,555,61,海光寺/六里台,新疆菜,和平区
真悦居酒屋,4.8,4052,123,大悦城,日本料理,和平区
爱合牛-炭火烧肉·酒場·寿喜烧,4.4,1326,122,大悦城,日本料理,和平区
安东鸡,4.7,3005,88,南市,韩国料理,和平区
姜虎东白丁韩国烤肉,4.8,10934,127,滨江道,韩国料理,和平区
鱼酷PRO,4.9,1246,94,南市,烤鱼,和平区
肥记红焖羊肉,4.1,105,102,小白楼,火锅,和平区
知酒浓·老房酒馆,4.8,191,79,滨江道,私房菜,和平区
哇啦哇啦 Wala Wala小白楼,4.7,3368,62,小白楼,韩国料理,和平区
老街称盘麻辣烫,4.3,1096,64,海光寺/六里台,火锅,和平区
哞哞碳烤羊腿,4.7,174,98,鞍山道沿线,烤羊腿,和平区
Akalaka啊咔啦咔韩国料理,4.8,5987,70,滨江道,韩国料理,和平区
盛和道铁板烧·日式放题,4.5,1589,321,海光寺/六里台,日本料理,和平区
四喜路螺蛳粉,4.4,152,26,小白楼,小吃快餐,和平区
雲山料理,4.8,2183,157,五大道,日本料理,和平区
观宴·海鲜美学主题自助餐厅,4.5,7758,448,小白楼,自助餐,和平区
德顺延边烤肉·宵夜,4.3,367,60,南市,韩国料理,和平区
木屋烧烤,4.7,6569,85,鞍山道沿线,烤串,和平区
羊老赞火锅,4.3,161,76,西康路沿线,火锅,和平区
大厨小串鸽子大王,4.0,76,58,海光寺/六里台,烤串,和平区
瑶·日式烧食,4.6,139,120,小白楼,日本料理,和平区
倍儿硬可脆皮烤肉,4.7,315,35,滨江道,炙子烤肉,和平区
沧海書院·境界素食,4.8,73,228,海光寺/六里台,素食,和平区
北李妈妈菜,4.8,5171,77,滨江道,东北菜,和平区
1981时尚西餐厅,4.8,1430,199,小白楼,西餐,和平区
陈家屯火锅鸡,4.6,988,78,海光寺/六里台,火锅,和平区
赵财记·肠粉·煲仔饭,4.4,62,33,小白楼,广州菜,和平区
阿甘粤菜馆,4.6,455,93,五大道,粤菜馆,和平区
小龙坎火锅,4.4,1051,109,南市,火锅,和平区
二姐家三个拿手菜,4.4,476,57,海光寺/六里台,家常菜,和平区
韩时烤肉,4.8,3958,96,和平路,韩国料理,和平区
湘芸,4.3,109,85,和平路,湘菜,和平区
下江腩牛腩火锅,4.2,77,76,小白楼,火锅,和平区
寻蜜,4.9,494,69,五大道,私房菜,和平区
青年公社,4.7,7028,88,滨江道,烤鸭,和平区
买又大餐厅,4.5,2910,38,五大道,津味小吃,和平区
Meet Sun韩式大排档한식포차,4.8,218,74,滨江道,韩国料理,和平区
绿色庄园,4.7,7265,86,海光寺/六里台,韩国料理,和平区
状元菜,4.4,319,52,滨江道,天津菜,和平区
鸡本无敌·炒鸡客江湖菜,4.8,1263,88,五大道,川菜馆,和平区
鸟禾割烹料理,4.8,1561,164,鞍山道沿线,日本料理,和平区
芳竹园火锅,4.8,1827,64,滨江道,火锅,和平区
成桂西餐厅,4.6,3266,220,五大道,西餐,和平区
七家哥贰店烤肉,4.7,594,108,滨江道,韩国料理,和平区
高胖妹面庄,4.8,1217,39,滨江道,面馆,和平区
喜在山舍·老宅吊锅·川卤酒馆,4.8,2310,116,和平路,火锅,和平区
蝎王府羊蝎子,4.7,1237,105,南市,火锅,和平区
二姐家三个拿手菜,4.5,345,63,五大道,家常菜,和平区
太兴餐厅,4.7,3386,77,和平路,茶餐厅,和平区
大西家,4.4,2042,63,鞍山道沿线,日本料理,和平区
欣火锅·烧菜火锅创导店,4.5,496,91,西康路沿线,火锅,和平区
Kim’s kitchen欧巴火锅炸鸡啤酒,4.9,2959,68,滨江道,韩国料理,和平区
天天鲜潮汕牛肉火锅,4.8,539,99,和平路,火锅,和平区
友膳·津味烤羊腿,4.7,382,154,五大道,烤羊腿,和平区
泰阿泰.泰国餐厅,4.3,1946,116,和平路,东南亚菜,和平区
金阁家常菜馆,4.5,1589,53,滨江道,天津菜,和平区
天丼の匠·天妇罗饭专门店,4.8,1166,52,滨江道,日本料理,和平区
九號烧肉.夜食,4.2,92,63,西康路沿线,韩国料理,和平区
味蜀吾老火锅,4.9,5004,98,鞍山道沿线,火锅,和平区
津门糕手•提拉米苏专门店,4.8,4559,49,滨江道,甜品,和平区
上帝厨房,4.7,938,99,五大道,火锅,和平区
六国三春·川菜,4.4,1337,158,和平路,川菜馆,和平区
大胡子•海鲜烧烤大排档,4.4,4328,85,南市,烤串,和平区
北菜阿五·北点北面,4.7,217,77,小白楼,东北菜,和平区
川越泰·泰式海鲜火锅,4.9,1926,129,滨江道,泰国料理,和平区
北李妈妈菜,4.8,21410,79,和平路,东北菜,和平区
顺水行粥,4.5,254,48,五大道,粥店,和平区
王牌大虾,4.0,399,69,南市,火锅,和平区
该爷大炸院·乐山油炸串串·跷脚牛肉,4.8,103,48,滨江道,川菜馆,和平区
成记潮汕粥,4.8,2096,100,五大道,广州菜,和平区
江户时代日式自助烤肉,4.8,463,260,和平路,日本料理,和平区
